番号,名前,電話番号,メール,住所
1,堀田 留美子,0959-49-1276,hotuta91@nifty.com  ,長崎県西海市大瀬戸町雪浦久良木郷9-6-5
2,松本 政広,0568-14-1909,matumoto1980@dsn.ad.jp  ,愛知県小牧市林1-6-3
3,吉岡 健也,0978-67-6974,aynek838@ath.cx  ,大分県宇佐市院内町新洞8-3-8
4,田島 れいや,03-3187-9682,tasima73@infoseek.jp  ,東京都目黒区洗足5-1-4
5,吉村 銀之助,0172-90-4291,yosimura1984@mail.goo.ne.jp  ,青森県平川市原上原1-10-3
6,小沢 真佐文,03-3560-7772,,東京都品川区勝島2-4-7
7,中西 洋和,076-473-0636,hirokazu@scuba-diver.jp  ,富山県富山市金山新9-5-3
8,松下 孝市,078-126-4130,mtst-kut@dion.ne.jp  ,兵庫県神戸市兵庫区都由乃町9-6-3
9,秋元 忠助,01655-6-8446,ekusadat8446@mail.goo.ne.jp  ,北海道上川郡下川町一の橋8-1-4
10,千田 留美子,04-4514-2179,okimur299@coara.or.jp  ,千葉県南房総市丸本郷8-13-2
11,細川 理佐,0745-56-1935,wksh6350036@scuba-diver.jp  ,奈良県大和高田市旭北町2242
12,後藤 護,0883-11-9978,gotou@odn.ne.jp  ,徳島県吉野川市山川町日知利子1-3-1
